Job arriving time,# of container,Job elapsed time,Job type
0,1,80,1
32,1,59,1
52,1,45,1
61,1,38,0
117,1,,2
117,1,44,1
152,1,394,1
197,1,41,1
243,1,,2
305,1,667,0
305,1,55,0
320,1,,2
329,1,,2
338,1,41,0
365,1,607,1
414,1,,2
414,1,45,1
414,1,630,0
414,1,137,0
434,1,238,0
446,1,110,1
449,1,412,1
452,1,,2
455,1,181,0
466,1,43,1
533,1,54,0
563,1,,2
608,1,,2
616,1,,2
616,1,44,0
665,1,40,0
681,1,,2
714,1,918,0
826,1,40,1
838,1,32,1
878,1,27,1
914,1,1276,1
966,1,284,1
992,1,92,0
995,1,96,1
995,1,106,0
998,1,118,0
1015,1,,2
1064,1,479,1
1064,1,246,1
1064,1,653,0
1064,1,213,0
1064,1,41,0
1118,10,,2
1118,9,211,0
1167,1,45,1
1188,1,,2
1233,1,45,1
1262,1,,2
1262,1,414,0
1307,1,34,0
1314,1,,2
1380,1,49,1
1418,1,,2
1418,1,32,1
1420,1,,2
1467,1,42,0
1542,1,42,1
1549,1,111,0
1558,34,96,1
1616,1,,2
1660,1,25,1
1698,1,238,1
1707,10,219,1
1715,29,95,1
1797,1,39,1
1867,1,,2
1867,1,,2
1867,1,372,1
1962,1,315,1
1962,1,60,1
1962,1,46,1
1962,1,322,0
2013,1,319,0
2055,1,,2
2062,25,304,1
2118,1,2073,1
2118,1,261,1
2118,1,212,0
2126,10,,2
2126,8,251,1
2126,36,2034,0
2150,1,479,1
2168,1,2473,1
2168,1,716,1
2168,1,51,0
2217,1,,2
2217,20,2423,0
2224,1,214,1
2237,1,36,1
2265,1,164,0
2271,2,161,1
2271,8,155,1
2296,1,32,1
2305,1,39,1
2372,1,104,1
2435,1,58,1
2464,31,137,1
2464,1,46,0
2487,1,228,1
2499,1,34,1
2514,1,37,0
2562,1,47,1
2562,1,157,0
2562,1,40,0
2602,1,,2
2616,1,,2
2748,1,40,0
2754,13,730,0
2763,1,35,0
2783,1,,2
2859,10,,2
2913,1,,2
2913,1,,2
2916,1,494,1
2916,1,91,1
2916,1,90,1
2916,1,36,1
2926,1,3176,1
2967,1,744,1
2967,1,30,1
3065,1,403,1
3120,1,,2
3120,1,2765,1
3120,1,1802,1
3120,1,677,0
3170,1,648,1
3170,1,293,1
3208,1,,2
3218,1,149,1
3268,1,628,1
3268,1,2665,1
3268,1,54,0
3282,1,,2
3321,1,,2
3321,1,1684,1
3376,1,221,1
3376,1,90,1
3384,14,125,1
3384,9,215,0
3431,1,,2
3528,1,,2
3529,1,348,1
3554,1,36,0
3561,1,40,0
3614,1,,2
3624,1,,2
3640,1,49,1
3651,1,649,1
