Job arriving time,# of container,Job elapsed time,Job type
0,9,80,1
256,8,59,1
356,5,45,1
401,5,38,0
625,4,,2
625,2,44,1
835,6,394,1
1195,8,41,1
1241,1,,2
1551,5,667,0
1551,3,55,0
1581,2,,2
1635,6,,2
1662,3,41,0
1932,10,607,1
2177,5,,2
2177,2,45,1
2177,1,630,0
2177,7,137,0
2337,8,238,0
2385,4,110,1
2412,9,412,1
2430,6,,2
2439,3,181,0
2472,3,43,1
2539,1,54,0
2719,6,,2
3124,9,,2
3156,4,,2
3156,6,44,0
3352,4,40,0
3368,1,,2
3500,4,918,0
4284,7,40,1
4356,6,32,1
4756,10,27,1
4792,1,1276,1
5000,4,284,1
5026,1,92,0
5047,7,96,1
5047,7,106,0
5071,8,118,0
5156,5,,2
5450,6,479,1
5450,5,246,1
5450,4,653,0
5450,9,213,0
5450,6,41,0
5990,10,,2
5990,9,211,0
6431,9,45,1
6557,6,,2
6827,6,45,1
6943,4,,2
6943,4,414,0
6988,1,34,0
7051,9,,2
7579,8,49,1
7731,4,,2
7731,3,32,1
7749,9,,2
7984,5,42,0
8509,7,42,1
8565,8,111,0
8871,34,96,1
9161,5,,2
9249,2,25,1
9363,3,238,1
9453,10,219,1
9685,29,95,1
9849,2,39,1
10269,6,,2
10269,7,,2
10269,6,372,1
10364,1,315,1
10364,4,60,1
10364,3,46,1
10364,3,322,0
10568,4,319,0
10862,7,,2
11037,25,304,1
11541,9,2073,1
11541,2,261,1
11541,10,212,0
11621,10,,2
11621,8,251,1
11621,36,2034,0
11645,1,479,1
11717,4,2473,1
11717,2,716,1
11717,8,51,0
11766,1,,2
11766,20,2423,0
11780,2,214,1
11806,2,36,1
11890,3,164,0
11902,2,161,1
11902,8,155,1
11977,3,32,1
12022,5,39,1
12558,8,104,1
12936,6,58,1
13835,31,137,1
13835,4,46,0
14019,8,228,1
14115,8,34,1
14175,4,37,0
14223,1,47,1
14223,8,157,0
14223,4,40,0
14463,6,,2
14561,7,,2
15749,9,40,0
15827,13,730,0
15845,2,35,0
15865,1,,2
16625,10,,2
17165,10,,2
17165,5,,2
17186,7,494,1
17186,10,91,1
17186,2,90,1
17186,6,36,1
17256,7,3176,1
17379,3,744,1
17379,6,30,1
17477,1,403,1
17532,1,,2
17532,5,2765,1
17532,2,1802,1
17532,7,677,0
17582,1,648,1
17582,7,293,1
17734,4,,2
17804,7,149,1
18054,5,628,1
18054,7,2665,1
18054,9,54,0
18166,8,,2
18556,10,,2
18556,1,1684,1
18721,3,221,1
18721,5,90,1
18833,14,125,1
18833,9,215,0
19303,10,,2
20273,10,,2
20283,10,348,1
20308,1,36,0
20336,4,40,0
20866,10,,2
20916,5,,2
21012,6,49,1
21067,5,649,1
21199,6,45,1
21199,7,41,1
21279,1,,2
21543,8,,2
21633,6,42,1
21717,4,,2
21717,7,206,1
21759,7,205,1
21792,3,346,1
21860,2,,2
21860,3,,2
21860,8,,2
21860,2,62,1
21860,7,44,1
21860,3,233,1
21860,4,62,0
21899,3,528,0
23899,50,213,1
23999,10,,2
24303,8,,2
24303,4,,2
24603,3,457,1
24630,9,379,0
24660,10,348,1
24744,2,210,1
24744,5,40,0
24744,7,40,0
24984,4,38,1
25098,3,968,0
25290,4,288,1
25390,10,,2
25590,20,,2
26000,5,,2
26000,7,297,1
26042,7,,2
