Job Type,Job #0,Job #1,Job #2,Job #3,Job #4,Job #5,Job #6,Job #7,Avg. Elapsed Time,Var. Elapsed Time,Elapsed Time Range
TeraGen_0copy,278,434,395,558,592,707,323,573,474.67,17552,429
TeraGen_1copy,327,436,438,331,399,396,467,449,405.38,2438.23,140
TeraGen_3copy,466,414,461,374,389,481,395,436,427,1390,107
pi_0copy,231,229,228,226,228,247,246,231,233.25,60.94,21
pi_1copy,214,234,185,211,208,183,204,224,207.88,268.36,51
pi_3copy,201,159,211,181,191,183,193,182,187.62,210.23,52
wc_0copy,75,76,65,81,79,75,76,75,75.25,19.19,16
wc_1copy,78,78,70,68,64,71,69,67,70.62,21.98,14
wc_3copy,68,71,69,64,65,69,66,67,67.38,4.73,7
,,,,,,,,,,,
,,,,,,,,,,,
Settings:,,,,,,,,,,,
Each type of job independently and successively performs 8 runs,,,,,,,,,,,
TeraGen: 20 mappers 100GB-size data,,,,,,,,,,,
QuasiMonteCarlo (Pi Computing): 20 mappers 8000000000 samples,,,,,,,,,,,
WordCount: 27 mappers 3.3GB-size input data,,,,,,,,,,,
,,,,,,,,,,,
Notes:,,,,,,,,,,,
All units are in second(s),,,,,,,,,,,
Var. = squared standard deviation for that type of job,,,,,,,,,,,
Range. = max(job elapsedTime) - min(job elapsedTime) for that type of job,,,,,,,,,,,
