Job Type,Job #0,Job #1,Job #2,Job #3,Job #4,Job #5,Job #6,Job #7,Avg. Elapsed Time,Elapsed Time Variance,Elapsed Time Range
wc_0copy,288,292,272,265,294,287,265,343,289.44,22.35,78
wc_1copy,257,313,314,272,336,276,262,280,290.67,25.75,79
wc_2copy,259,295,275,267,296,273,271,259,272.56,13.63,38
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Job Type,Job #0,Job #1,Job #2,Job #3,Job #4,Job #5,Job #6,Job #7,Avg. Elapsed Time,Elapsed Time Variance,Elapsed Time Range
wc_0copy_1,270,325,305,259,283,355,274,315,298.25,30.46,96
wc_0copy_2,270,290,295,251,314,265,323,275,285.38,23.16,72
wc_1copy_1,288,251,267,284,255,301,268,260,271.75,16.41,50
wc_1copy_2,305,279,307,345,304,339,272,261,301.5,28.2,84
wc_2copy_1,280,267,271,363,314,263,277,266,287.62,32.26,100
wc_2copy_2,280,271,285,271,277,284,327,294,286.12,17.02,56
